0,1,2,3,4,5,6
by age group,,,,,,
Age group,Vitamin A,Vitamin D,Vitamin E,Vitamin K,Choline,Vitamin C
,RE2,µg3,α-TE4*,µg*,mg*,mg5
≤ 6 months1,,,4,,120,305
7–11,250,10,5,10,170,305
months,,,,,,
1–3 years,300,10,7,15,150,25
4–6 years,350,10,8,20,170,35
7–10 years,450,10,9,30,250,55
Women,,,,,,
11–14 years,650,10,10,45,350,75
15–17 years,650,10,11,60,390,90
18–24 years,700,10,10,65,400,95
25–50 years,700,10,10,65,400,95
51–70 years,700,10,9,60,400,95
> 70 years,650,206,9,60,400,95
Pregnant,750,10,11,80,480,105
women,,,,,,
Lactating,1 400,10,12,65,520,155
women,,,,,,
Men,,,,,,
11–14 years,700,10,11,50,330,80
15–17 years,750,10,12,65,400,105
18–24 years,800,10,11,75,400,110
25–50 years,800,10,11,75,400,110
51–70 years,800,10,11,70,400,110
> 70 years,750,206,11,70,400,110
