0,1,2,3,4
Appendix 10c. Recommended mineral intakes by age group,,,,
Age group,Calcium,Iron,Zinc,Copper
,mg,mg,mg,µg
≤ 6 months1,120,,,200
7–11 months,3102,10,3,220
1–3 years,450,7,4.5,340
4–6 years,800,7,5.8,400
7–10 years,800,9,7.7,570
Women,,,,
11–14 years,"1,150",133,10.8,780
15–17 years,"1,150",154,12.2,880
18–24 years,"1,000",15,9.7,900
25–50 years,950,15,9.7,900
51–70 years,950,85,9.5,900
> 70 years,950,7,9.3,900
Pregnant,950,266,11.3,1000
women,,,,
Lactating,950,15,12.6,1300
women,,,,
Men,,,,
11–14 years,"1,150",11,11.1,740
15–17 years,"1,150",11,14.0,900
18–24 years,"1,000",9,12.7,900
25–50 years,950,9,12.7,900
51–70 years,950,9,12.4,900
> 70 years,950,9,12.1,900
