0,1,2,3,4,5,6,7,8
Age,Vitamin,Folate,Thiamine,Ribo-,Niasiini,Vitamin,Panto thenic,Biotin
group,B12,µg,mg/MJ,flavin,NE/MJ2,B6,acid,µg
,µg*,,,mg,,mg,mg,
≤ 6 kk1,0.3,50,,0.2,,0.1,1.6,3
7–11 months,1.1,70,0.07,0.3,1.3,0.3,2.2,4
1–3 years,1.2,90,0.07,0.5,1.3,0.5,3.2,16
4–6 years,1.4,110,0.07,0.6,1.3,0.6,3.2,20
7–10 years,2,160,0.07,0.8,1.3,0.9,3.2,20
Women,,,,,,,,
11–14 years,2.8,220,0.07,1.2,1.3,1.1,4,28
15–17 years,3.1,240,0.07,1.3,1.3,1.3,4,28
18–24 years,3.2,250,0.07,1.3,1.3,1.3,4,32
25–50 years,3.2,250,0.07,1.3,1.3,1.3,4,32
51–70 years,3.2,250,0.07,1.3,1.3,1.3,4,32
> 70 years,3.2,250,0.07,1.3,1.3,1.3,4,32
Pregnant,3.6,480,0.07,1.6,1.3,1.5,4,32
women,,,,,,,,
Lactating,4.2,380,0.07,1.6,1.3,1.4,5.6,35
women,,,,,,,,
Men,,,,,,,,
11–14 years,2.6,200,0.07,1.1,1.3,1.2,4,28
15–17 years,3.2,250,0.07,1.3,1.3,1.5,4,28
18–24 years,3.2,250,0.07,1.3,1.3,1.5,4,32
25–50 years,3.2,250,0.07,1.3,1.3,1.5,4,32
51–70 years,3.2,250,0.07,1.3,1.3,1.5,4,32
> 70 years,3.2,250,0.07,1.3,1.3,1.5,4,32
