0,1,2
Table 1. Recommendations for the intake of energy-yielding nutrients1 for the adult,,
population and children over two years of age.,,
Energy-yielding nutrient,Recommended range,Target level to be used in planning2
Fat,25–40 E%,32–33 E%
Saturated fatty acids,< 10 E%3,
Monounsaturated fatty acids,"10–20 E%3, 4",
Polyunsaturated fatty acid,"5–10 E%3, 4",
– Essential fatty acids,≥ 3 E%3,
→ of which alpha-linolenic acid,≥ 0.5 E%3,
Carbohydrates,45–60 E%,52–53 E%
Fibre,≥ 3 g/MJ5,
Total free sugar,< 10 E%6,
Protein,10–20 E%,15 E% for people under 70 years and 18 E%
