0
National Nutrition Council (VRN)
"Leena Räsänen, Chair, Director-General, Finnish Food Authority"
"Mika Salminen, Vice-chair, Director General, Finnish Institute for Health and Welfare (THL)"
"Maijaliisa Erkkola, Professor, University of Helsinki"
"Nina Halonen, Dietitian, Espoo catering"
"Sebastian Hielm, Food Safety Director, Ministry of Agriculture and Forestry"
"Minna Huttunen, Ministerial Adviser, Ministry of Agriculture and Forestry"
"Juha-Matti Katajajuuri, Senior Scientist, National Resources Institute Finland (Luke)"
"Satu Lahti, Professor, University of Turku"
"Marjaana Lahti-Koski, Secretary General, Finnish Heart Association"
"Marjaana Manninen, Senior Adviser, Finnish National Agency for Education"
"Marjo Misikangas, Specialexpert, Finnish Food Authority"
"Johanna Mäkelä, Professor, University of Helsinki"
"Satu Männistö, Research Manager, Finnish Institute for Health and Welfare (THL)"
"Nina Nevanperä, Researcher, Finnish Institute of Occupational Health"
"Janne Nieminen, Deputy Director-General, Finnish Food Authority"
"Sirpa Sarlio, Ministerial Adviser, Ministry of Social Affairs and Health"
"Ursula Schwab, Professor, University of Eastern Finland"
"Suvi Virtanen, Research Manager, Finnish Institute for Health and Welfare (THL),"
"Professor, Tampere University"
"Satu Jyväkorpi (Secretary General), National Nutrition Council, VRN"
