0,1,2,3,4,5
women and men aged 18 to 741.,,,,,
,,Women,,Men,
Nutrient,Recommen-,Intake,Those,Intake,Those
,dation,,reaching the,,reaching the
,,,recommen-,,recommen-
,,,ded intake,,ded intake
,,,(%)2,,(%)2
"Fat, E%",25–40,38,68,39,65
"Saturated fatty acids,",< 10,14,6,15,3
E%,,,,,
Monounsaturated,10–20,14,96,15,98
"fatty acids, E%",,,,,
Polyunsaturated,5–10,"6,9",89,"6,8",95
"fatty acids, E%",,,,,
"Carbohydrates, E%",45–60,43,31,41,27
"Dietary fiber, g/MJ",3,2.9,32,2.5,32
"Free sugar, E%3",< 10,8.9,68,7.8,78
"Protein, E%",10–20,18,85,18,77
